항목,항목코드,교사쌍,Pearson_r,Pearson_p,Spearman_ρ,Spearman_p,n
질문-전문성,question_professionalism_score,93-96,0.5892905050119095,1.1200437049528016e-10,0.5745566580596856,4.087654520469135e-10,100
질문-전문성,question_professionalism_score,93-97,0.5406625379689786,6.374833074467029e-09,0.4608203781204251,1.402862737739785e-06,100
질문-전문성,question_professionalism_score,96-97,0.5264379880396647,1.8489896303109564e-08,0.5137440075600793,4.5924652499502235e-08,100
질문-구조화,question_structuring_score,93-96,0.5446892338308367,4.67321773967811e-09,0.5595160767559244,1.4368685849295203e-09,100
질문-구조화,question_structuring_score,93-97,0.5783630284571246,2.9437213995407665e-10,0.6269763185521294,2.9803214501610756e-12,100
질문-구조화,question_structuring_score,96-97,0.4824340913705693,3.7203179874196427e-07,0.5319065263810996,1.2349954350794432e-08,100
질문-맥락활용,question_context_application_score,93-96,0.12516633988740913,0.2146747996481864,0.20510267040839988,0.04065246674032995,100
질문-맥락활용,question_context_application_score,93-97,0.05588010203623135,0.5808063574701835,0.09154317060193944,0.36502777105607265,100
질문-맥락활용,question_context_application_score,96-97,0.3671501197795886,0.0001716526056524699,0.2576567787415613,0.009652759284095128,100
질문 영역 합계,question_total_score,93-96,0.6528205169726704,1.840629451357678e-13,0.6533998287021661,1.7239191988863634e-13,100
질문 영역 합계,question_total_score,93-97,0.6315900088750319,1.84775438073415e-12,0.6442733603167782,4.76054878300659e-13,100
질문 영역 합계,question_total_score,96-97,0.578455405313346,2.9202075465621277e-10,0.6285609812626989,2.531281420785001e-12,100
응답-맞춤화,answer_customization_score,93-96,0.43137300630506514,7.438837036802286e-06,0.3378586456555589,0.0005865001540957319,100
응답-맞춤화,answer_customization_score,93-97,0.4971532143475412,1.4281051174890979e-07,0.3880813115946931,6.619635733088397e-05,100
응답-맞춤화,answer_customization_score,96-97,0.5055964555602004,8.07758256365154e-08,0.40519976629723475,2.8909434677219997e-05,100
응답-체계성,answer_systematicity_score,93-96,0.562535287836613,1.1220411915726136e-09,0.5244396208354959,2.1390117091541844e-08,100
응답-체계성,answer_systematicity_score,93-97,0.606361931364201,2.2982285195876348e-11,0.5822557526690673,2.0949760294395734e-10,100
응답-체계성,answer_systematicity_score,96-97,0.5635224479935939,1.0343236802315544e-09,0.4934055520384014,1.8301580940820378e-07,100
응답-확장성,answer_expandability_score,93-96,0.17089362633157665,0.08913461807532432,0.19040748538652477,0.057757398482753505,100
응답-확장성,answer_expandability_score,93-97,0.38896924148612244,6.34824212618535e-05,0.3169239387417514,0.0013152387152638614,100
응답-확장성,answer_expandability_score,96-97,0.3611421507599313,0.0002230111792080499,0.3171854680272215,0.0013024897791589101,100
응답 영역 합계,response_total_score,93-96,0.5738234116259417,4.3524199264828895e-10,0.4777350501892334,5.003624220614913e-07,100
응답 영역 합계,response_total_score,93-97,0.6576871859636952,1.056904148743657e-13,0.5324725964135066,1.1839803025674152e-08,100
응답 영역 합계,response_total_score,96-97,0.5729518150039339,4.68859873386681e-10,0.46583487829773396,1.0393796572239303e-06,100
맥락-대화일관성,context_dialogue_coherence_score,93-96,0.3934494338631477,5.1300883650450175e-05,0.3948566738520191,4.7949672012872586e-05,100
맥락-대화일관성,context_dialogue_coherence_score,93-97,0.5866207915086965,1.4230015949197178e-10,0.5842622018108588,1.754998245563064e-10,100
맥락-대화일관성,context_dialogue_coherence_score,96-97,0.4426344882316789,4.002998039373362e-06,0.4515693299863538,2.409536029022657e-06,100
맥락-학습지원,context_learning_support_score,93-96,0.06941849411716834,0.49253285321435286,0.13166309604989793,0.19163074150125067,100
맥락-학습지원,context_learning_support_score,93-97,0.19735727579480114,0.04904921316622527,0.09068321317435517,0.3695686823046961,100
맥락-학습지원,context_learning_support_score,96-97,0.11893705122065118,0.23855508029352598,0.08379913569107492,0.40715247031169177,100
맥락 영역 합계,context_total_score,93-96,0.31387276806338305,0.0014725831623354335,0.34189910860319594,0.0004985335127080824,100
맥락 영역 합계,context_total_score,93-97,0.5478612875302014,3.648601456946504e-09,0.5625381244011751,1.1217792004642261e-09,100
맥락 영역 합계,context_total_score,96-97,0.3916707475884392,5.5849487695683324e-05,0.4165894187969565,1.623731504549127e-05,100
종합 점수,overall_score,93-96,0.6010566098498756,3.797625020273374e-11,0.5214931266361272,2.647113990062641e-08,100
종합 점수,overall_score,93-97,0.6947013343023495,1.0863430246938396e-15,0.5491629502928008,3.2937687308061886e-09,100
종합 점수,overall_score,96-97,0.6436125485663544,5.11709159388174e-13,0.5681441980785884,7.040247946314932e-10,100
